reviewedIn,userId,userProfileLink,ratingScore,reviewTitle,reviewId,reviewUrl,reviewReaction,reviewDescription,isVerified,isAmazonVine,reviewImages,date,position,variant,variantAttributes,totalCategoryRatings,totalCategoryReviews,reviewCategoryUrl,filterByRating,filterByKeyword,productAsin,productOriginalAsin,variantAsin,product,input,country,countryCode
Reviewed in India on 16 August 2024,amzn1.account.AGA64TN5OQYQVXDLMPPULCMZKTHQ,https://www.amazon.in/gp/profile/amzn1.account.AGA64TN5OQYQVXDLMPPULCMZKTHQ/ref=cm_cr_othr_d_gw_tr?ie=UTF8,5,Best sound,R9IY0CDSQN0VF,https://www.amazon.in/gp/customer-reviews/R9IY0CDSQN0VF/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B072PQRS12,3 people found this helpful,"This Bluetooth speaker is the best one in this price range. I was looking for the best bluetooth speaker for a very long time and have experienced lot of speakers for almost 1 year. Finally got this one. This is the best among everything. And if you are looking for best one under 5000 rupees, then there is no other alternative. This one sounds better than JBL, this speaker easily wins the competition with the sturdy build quality, great sound and decent battery standby. Definitely a highly recommended bluetooth speaker for TV, Audio speakers for big hall, party music, etc. You will never regret the decision at any point.Thanks Boat and Amazon.",True,False,[],2024-08-16,1,Colour: Black,"[{'key': 'Colour', 'value': 'Black'}]",,,https://www.amazon.in/product-reviews/B072PQRS12?pageNumber=1&filterByStar=all_stars&sortBy=helpful&formatType=all_formats&asin=B072PQRS12&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0,allStars,,B072PQRS12,B072PQRS12,B072PQRS12,"{'price': None, 'listPrice': None}",https://www.amazon.in//Boat-Stone-1000-Bluetooth-Monstrous/dp/B072PQRS12/ref=zg_bs_g_1389365031_d_sccl_22/262-4334605-4855948?psc=1,India,
Reviewed in India on 14 December 2024,amzn1.account.AGWP6YDMKLSTRVESSCUX7YI7LPPA,https://www.amazon.in/gp/profile/amzn1.account.AGWP6YDMKLSTRVESSCUX7YI7LPPA/ref=cm_cr_othr_d_gw_tr?ie=UTF8,4,Great quality ✅ Battery capacity only 2-3 hrs ❌,RRBUM7OCGTMVB,https://www.amazon.in/gp/customer-reviews/RRBUM7OCGTMVB/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B072PQRS12,One person found this helpful,Great quality ✅ Bass ✅ Sound clarity ✅ Charging speed slow; Speaker switches off at 60% charge (switches off after 2 hours continuous usage) ❌,True,False,"['https://m.media-amazon.com/images/I/71KuD6-K0gL._SY88.jpg', 'https://m.media-amazon.com/images/I/71UzII6cEzL._SY88.jpg', 'https://m.media-amazon.com/images/I/71V4AAJV7DL._SY88.jpg', 'https://m.media-amazon.com/images/I/71YCDVBAhYL._SY88.jpg', 'https://m.media-amazon.com/images/I/71kSsvOtA4L._SY88.jpg']",2024-12-14,2,Colour: Blue,"[{'key': 'Colour', 'value': 'Blue'}]",,,https://www.amazon.in/product-reviews/B072PQRS12?pageNumber=1&filterByStar=all_stars&sortBy=helpful&formatType=all_formats&asin=B072PQRS12&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0,allStars,,B072PQRS12,B072PQRS12,B072PQRS12,"{'price': None, 'listPrice': None}",https://www.amazon.in//Boat-Stone-1000-Bluetooth-Monstrous/dp/B072PQRS12/ref=zg_bs_g_1389365031_d_sccl_22/262-4334605-4855948?psc=1,India,
Reviewed in India on 2 March 2024,amzn1.account.AFU4I62I3FGC22ZKK64FHIFGHLCA,https://www.amazon.in/gp/profile/amzn1.account.AFU4I62I3FGC22ZKK64FHIFGHLCA/ref=cm_cr_othr_d_gw_tr?ie=UTF8,5,Great value for the money!,R1PWN35TCP18CB,https://www.amazon.in/gp/customer-reviews/R1PWN35TCP18CB/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B072PQRS12,5 people found this helpful,"This speaker is awesome and worth the price. It has great soung quality(you can differentiate between different instruments),bass is also good(but not great),the design is good as well(plastic body but the handle is made of rubber and feels like it can break anytime). On low to medium sound levels it easy works for 6-7 hours. On high volume the sound is very loud,enough to shake a big room but the charge is finished sooner(like 3-5 hours) and some times the sound drops drastically. Thats a downgrade. Otherwise the speaker is very good.",True,False,[],2024-03-02,3,Colour: Black,"[{'key': 'Colour', 'value': 'Black'}]",,,https://www.amazon.in/product-reviews/B072PQRS12?pageNumber=1&filterByStar=all_stars&sortBy=helpful&formatType=all_formats&asin=B072PQRS12&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0,allStars,,B072PQRS12,B072PQRS12,B072PQRS12,"{'price': None, 'listPrice': None}",https://www.amazon.in//Boat-Stone-1000-Bluetooth-Monstrous/dp/B072PQRS12/ref=zg_bs_g_1389365031_d_sccl_22/262-4334605-4855948?psc=1,India,
Reviewed in India on 6 October 2024,amzn1.account.AHLHM4TPABJEKNO6N42XC3R4ASVA,https://www.amazon.in/gp/profile/amzn1.account.AHLHM4TPABJEKNO6N42XC3R4ASVA/ref=cm_cr_othr_d_gw_tr?ie=UTF8,5,Excellent sound quality,R1SQDIDXEXQZAW,https://www.amazon.in/gp/customer-reviews/R1SQDIDXEXQZAW/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B072PQRS12,,Sound quality is good. Looks extremely durable. Bass is just perfect on moderate sound level. Easy to connect with the mobile. Overall its a good product to enjoy music at home.,True,False,[],2024-10-06,4,Colour: Black,"[{'key': 'Colour', 'value': 'Black'}]",,,https://www.amazon.in/product-reviews/B072PQRS12?pageNumber=1&filterByStar=all_stars&sortBy=helpful&formatType=all_formats&asin=B072PQRS12&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0,allStars,,B072PQRS12,B072PQRS12,B072PQRS12,"{'price': None, 'listPrice': None}",https://www.amazon.in//Boat-Stone-1000-Bluetooth-Monstrous/dp/B072PQRS12/ref=zg_bs_g_1389365031_d_sccl_22/262-4334605-4855948?psc=1,India,
Reviewed in India on 27 September 2024,amzn1.account.AFH3Z2ZBFZKLKSLON26NAMHITOUQ,https://www.amazon.in/gp/profile/amzn1.account.AFH3Z2ZBFZKLKSLON26NAMHITOUQ/ref=cm_cr_othr_d_gw_tr?ie=UTF8,5,VERY GOOD SOUND,RA5N00XT1CAQ7,https://www.amazon.in/gp/customer-reviews/RA5N00XT1CAQ7/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B072PQRS12,,Excellent product for this price. Battery lasts well. Bluetooth connectivity is very fast anytime.,True,False,[],2024-09-27,5,Colour: Black,"[{'key': 'Colour', 'value': 'Black'}]",,,https://www.amazon.in/product-reviews/B072PQRS12?pageNumber=1&filterByStar=all_stars&sortBy=helpful&formatType=all_formats&asin=B072PQRS12&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0,allStars,,B072PQRS12,B072PQRS12,B072PQRS12,"{'price': None, 'listPrice': None}",https://www.amazon.in//Boat-Stone-1000-Bluetooth-Monstrous/dp/B072PQRS12/ref=zg_bs_g_1389365031_d_sccl_22/262-4334605-4855948?psc=1,India,
Reviewed in India on 30 July 2024,amzn1.account.AGEQATNE4IR3XHXIWWI2KUUSWNIA,https://www.amazon.in/gp/profile/amzn1.account.AGEQATNE4IR3XHXIWWI2KUUSWNIA/ref=cm_cr_othr_d_gw_tr?ie=UTF8,1,Worst Product of Boat,R2H449VTB72NFB,https://www.amazon.in/gp/customer-reviews/R2H449VTB72NFB/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B072PQRS12,2 people found this helpful,"I always thought Boat is a good brand with a brand value and name. But after buying this speaker I’ll suggest you guys never ever buy this speaker.I bought this Boat Stone 1000 (14W) speaker in 2023 November. Just after 4-5 months it started giving issues like very low battery backup, unable to play in high volume, infact unable to play loud music even after full charge. What will I do with a speaker if it doesn’t play high sound.After facing this problem for some days, I demanded for warranty in Boat Service Center & they replaced a new Speaker and guess what ! That new speaker js not getting charged by any cable, any adapter, not even getting turned On. Its a useless piece, worst piece.I’m badly disappointed by Boat. I think now when they are a successful brand. They’re cost cutting in their products and not even providing good warranty services.Final Review :If you wanna buy this speaker, buy only if you blindly trust Boat.And the worst feature of this speaker is that, they didn’t even provided a USB Type-C charging.C’mon Boat, you’re still providing that 10 years old charging feature.So, think 10 times before buying this product.I’m really disappointed by their service & replaced product. So now I will just claim my money back, because I’m not gonna buy Boat’s product anymore.Bye Boat, your sailors are missing these days.",True,False,[],2024-07-30,6,Colour: Black,"[{'key': 'Colour', 'value': 'Black'}]",,,https://www.amazon.in/product-reviews/B072PQRS12?pageNumber=1&filterByStar=all_stars&sortBy=helpful&formatType=all_formats&asin=B072PQRS12&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0,allStars,,B072PQRS12,B072PQRS12,B072PQRS12,"{'price': None, 'listPrice': None}",https://www.amazon.in//Boat-Stone-1000-Bluetooth-Monstrous/dp/B072PQRS12/ref=zg_bs_g_1389365031_d_sccl_22/262-4334605-4855948?psc=1,India,
Reviewed in India on 15 January 2025,amzn1.account.AGFJVUUXLNMQXALS56L27QOB4OOQ,https://www.amazon.in/gp/profile/amzn1.account.AGFJVUUXLNMQXALS56L27QOB4OOQ/ref=cm_cr_othr_d_gw_tr?ie=UTF8,4,This product is very osm and good sound quality,R2BRGDAGHZQ6JT,https://www.amazon.in/gp/customer-reviews/R2BRGDAGHZQ6JT/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B072PQRS12,,,True,False,['https://m.media-amazon.com/images/I/71nqJlvEWPL._SY88.jpg'],2025-01-15,7,Colour: Black,"[{'key': 'Colour', 'value': 'Black'}]",,,https://www.amazon.in/product-reviews/B072PQRS12?pageNumber=1&filterByStar=all_stars&sortBy=helpful&formatType=all_formats&asin=B072PQRS12&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0,allStars,,B072PQRS12,B072PQRS12,B072PQRS12,"{'price': None, 'listPrice': None}",https://www.amazon.in//Boat-Stone-1000-Bluetooth-Monstrous/dp/B072PQRS12/ref=zg_bs_g_1389365031_d_sccl_22/262-4334605-4855948?psc=1,India,
Reviewed in India on 10 October 2019,amzn1.account.AGDBWUCM2VNY5JJ44O5CTCKGUP6Q,https://www.amazon.in/gp/profile/amzn1.account.AGDBWUCM2VNY5JJ44O5CTCKGUP6Q/ref=cm_cr_othr_d_gw_tr?ie=UTF8,3,Highs are boosted too much for my taste. Crackling noise behind voices. Hissing sound via AUX.,RTTN3R80DI6UX,https://www.amazon.in/gp/customer-reviews/RTTN3R80DI6UX/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B072PQRS12,One person found this helpful,"- The higher frequencies have been boosted so much that it makes music sound noisy. The sound is really imbalanced and doesn't sound soothing or natural. Its harsh sounding. I do not understand how this speaker got so many positive reviews for sound quality. Bass is adequate but sounds a bit hollow at times. Mids seem just fine but are overpowered by the highs. But the most disappointing aspect of sound quality is a rustling sound that is very audible behind voices. To add to this there is a hissing/buzzing sound in background when the speaker is connected via an AUX cable.- It does get loud. But there is noticeable distortion at higher volumes.- Takes a while to charge.- Build quality is great.- Its large. And as many have said this is not a speaker you would want to carry around in your bag.- You can expect range of just below 10 meters.- The power button didn't register long presses at times.- Mic quality was okay is what I was told by a friend on call.- It looks more like a boom box than a bluetooth speaker. That's fine depending on what you prefer.Overall I would say I prefer the sound signature of the Boat Stone 650 in comparison to this one. Even though its 10 watts compared to 14 watts here. Those 10 watts are more usable, as it sounds more soothing. The Boat Stone 650 was also loud enough for my usage. Do note that it was bass heavy but not in a bad way.Before you make the purchase, you should definitely try these speakers at a local store if you can.",True,False,[],2019-10-10,8,Colour: Black,"[{'key': 'Colour', 'value': 'Black'}]",,,https://www.amazon.in/product-reviews/B072PQRS12?pageNumber=1&filterByStar=all_stars&sortBy=helpful&formatType=all_formats&asin=B072PQRS12&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0,allStars,,B072PQRS12,B072PQRS12,B072PQRS12,"{'price': None, 'listPrice': None}",https://www.amazon.in//Boat-Stone-1000-Bluetooth-Monstrous/dp/B072PQRS12/ref=zg_bs_g_1389365031_d_sccl_22/262-4334605-4855948?psc=1,India,
Reviewed in India on 22 November 2024,amzn1.account.AEPFHMBNYXMAYJVXILIBHW2K2PJQ,https://www.amazon.in/gp/profile/amzn1.account.AEPFHMBNYXMAYJVXILIBHW2K2PJQ/ref=cm_cr_othr_d_gw_tr?ie=UTF8,5,Robust must have,R2KGFYZT9QUC22,https://www.amazon.in/gp/customer-reviews/R2KGFYZT9QUC22/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B072PQRS12,,"Using it for years, it's a great buy",True,False,[],2024-11-22,25,Colour: Black,"[{'key': 'Colour', 'value': 'Black'}]",,,https://www.amazon.in/product-reviews/B072PQRS12?pageNumber=4&filterByStar=all_stars&sortBy=helpful&formatType=all_formats&asin=B072PQRS12&reftag=cm_cr_arp_d_paging_btm_next_4&scope=reviewsAjax0,allStars,,B072PQRS12,B072PQRS12,B072PQRS12,"{'price': None, 'listPrice': None}",https://www.amazon.in//Boat-Stone-1000-Bluetooth-Monstrous/dp/B072PQRS12/ref=zg_bs_g_1389365031_d_sccl_22/262-4334605-4855948?psc=1,India,
Reviewed in India on 17 November 2024,amzn1.account.AHFKCGZLZBOZK6PUZVTJDFQWOFQQ,https://www.amazon.in/gp/profile/amzn1.account.AHFKCGZLZBOZK6PUZVTJDFQWOFQQ/ref=cm_cr_othr_d_gw_tr?ie=UTF8,5,Very nice,R1FBGAMSN96BKM,https://www.amazon.in/gp/customer-reviews/R1FBGAMSN96BKM/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B072PQRS12,,Very nice sound and size and I’m using from 6 year,True,False,[],2024-11-17,26,Colour: Black,"[{'key': 'Colour', 'value': 'Black'}]",,,https://www.amazon.in/product-reviews/B072PQRS12?pageNumber=4&filterByStar=all_stars&sortBy=helpful&formatType=all_formats&asin=B072PQRS12&reftag=cm_cr_arp_d_paging_btm_next_4&scope=reviewsAjax0,allStars,,B072PQRS12,B072PQRS12,B072PQRS12,"{'price': None, 'listPrice': None}",https://www.amazon.in//Boat-Stone-1000-Bluetooth-Monstrous/dp/B072PQRS12/ref=zg_bs_g_1389365031_d_sccl_22/262-4334605-4855948?psc=1,India,
