reviewedIn,userId,userProfileLink,ratingScore,reviewTitle,reviewId,reviewUrl,reviewReaction,reviewDescription,isVerified,isAmazonVine,reviewImages,date,position,variant,variantAttributes,totalCategoryRatings,totalCategoryReviews,reviewCategoryUrl,filterByRating,filterByKeyword,productAsin,productOriginalAsin,variantAsin,product,input,country,countryCode
Reviewed in India on 29 December 2024,amzn1.account.AEUTSGPTXDDZGOEUIP7XG5EBWNRA,https://www.amazon.in/gp/profile/amzn1.account.AEUTSGPTXDDZGOEUIP7XG5EBWNRA/ref=cm_cr_othr_d_gw_tr?ie=UTF8,5,Excellent Product,R27EP2XK9E4F9S,https://www.amazon.in/gp/customer-reviews/R27EP2XK9E4F9S/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0CLH74T2W,,Product is supercool and is very easy to setup. The wireless charger is excellent. The lights can be changed according to the mood and theme.,True,False,['https://m.media-amazon.com/images/I/61tm7HG1VEL._SY88.jpg'],2024-12-29,1,,[],,,https://www.amazon.in/product-reviews/B0CLH74T2W?pageNumber=1&filterByStar=all_stars&sortBy=helpful&formatType=all_formats&asin=B0CLH74T2W&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0,allStars,,B0CLH74T2W,B0CLH74T2W,B0CLH74T2W,"{'price': None, 'listPrice': None}",https://www.amazon.in//Wireless-Speaker-Charging-Bedside-Machine/dp/B0CLH74T2W/ref=zg_bs_g_1389365031_d_sccl_29/260-9443465-0628262?psc=1,India,
Reviewed in India on 6 January 2025,amzn1.account.AGYIGFAFEKT6KJPEL4T4PNOX53ZQ,https://www.amazon.in/gp/profile/amzn1.account.AGYIGFAFEKT6KJPEL4T4PNOX53ZQ/ref=cm_cr_othr_d_gw_tr?ie=UTF8,5,Worth it.,RMFBMM8AENGZ1,https://www.amazon.in/gp/customer-reviews/RMFBMM8AENGZ1/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0CLH74T2W,,"The Elevea Wireless G Speaker is not just a gadget; it’s an all-around lifestyle upgrade. Whether you need a reliable speaker, a charging hub, soothing light, or sleep aid, this multifunctional device ticks all the boxes. Highly recommended for anyone looking to elevate their home and tech setup!",True,False,[],2025-01-06,2,,[],,,https://www.amazon.in/product-reviews/B0CLH74T2W?pageNumber=1&filterByStar=all_stars&sortBy=helpful&formatType=all_formats&asin=B0CLH74T2W&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0,allStars,,B0CLH74T2W,B0CLH74T2W,B0CLH74T2W,"{'price': None, 'listPrice': None}",https://www.amazon.in//Wireless-Speaker-Charging-Bedside-Machine/dp/B0CLH74T2W/ref=zg_bs_g_1389365031_d_sccl_29/260-9443465-0628262?psc=1,India,
Reviewed in India on 20 December 2024,amzn1.account.AFBUDCT56UWHY37VR3J5TUQW3I5A,https://www.amazon.in/gp/profile/amzn1.account.AFBUDCT56UWHY37VR3J5TUQW3I5A/ref=cm_cr_othr_d_gw_tr?ie=UTF8,5,Good product,R31HHUOPVIURDE,https://www.amazon.in/gp/customer-reviews/R31HHUOPVIURDE/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0CLH74T2W,,"Easy to use, fit for light music needs. Connects easily. Multicolour light changing is good feature",True,False,[],2024-12-20,3,,[],,,https://www.amazon.in/product-reviews/B0CLH74T2W?pageNumber=1&filterByStar=all_stars&sortBy=helpful&formatType=all_formats&asin=B0CLH74T2W&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0,allStars,,B0CLH74T2W,B0CLH74T2W,B0CLH74T2W,"{'price': None, 'listPrice': None}",https://www.amazon.in//Wireless-Speaker-Charging-Bedside-Machine/dp/B0CLH74T2W/ref=zg_bs_g_1389365031_d_sccl_29/260-9443465-0628262?psc=1,India,
Reviewed in India on 15 January 2025,amzn1.account.AGCJJH3I6MRMS6NI2DFA3UPHL4PA,https://www.amazon.in/gp/profile/amzn1.account.AGCJJH3I6MRMS6NI2DFA3UPHL4PA/ref=cm_cr_othr_d_gw_tr?ie=UTF8,5,Excellent,R2BO85XC3X4M8C,https://www.amazon.in/gp/customer-reviews/R2BO85XC3X4M8C/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0CLH74T2W,,Excellent product...Multiple options...easy to use...,True,False,[],2025-01-15,4,,[],,,https://www.amazon.in/product-reviews/B0CLH74T2W?pageNumber=1&filterByStar=all_stars&sortBy=helpful&formatType=all_formats&asin=B0CLH74T2W&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0,allStars,,B0CLH74T2W,B0CLH74T2W,B0CLH74T2W,"{'price': None, 'listPrice': None}",https://www.amazon.in//Wireless-Speaker-Charging-Bedside-Machine/dp/B0CLH74T2W/ref=zg_bs_g_1389365031_d_sccl_29/260-9443465-0628262?psc=1,India,
Reviewed in India on 23 December 2024,amzn1.account.AFMJF7HHJGU7BIHIHTAHP7OBP4FA,https://www.amazon.in/gp/profile/amzn1.account.AFMJF7HHJGU7BIHIHTAHP7OBP4FA/ref=cm_cr_othr_d_gw_tr?ie=UTF8,1,Product looks bigger but received smaller,RO4ALGX5T18VV,https://www.amazon.in/gp/customer-reviews/RO4ALGX5T18VV/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0CLH74T2W,2 people found this helpful,"Dear Team],I recently placed an order this speaker based on the images displayed on your website. However, upon receiving it, I noticed that the product is much smaller than expected. The images on your site make it appear significantly larger, which I find misleading.Could you please clarify this discrepancy? I’d appreciate a resolution to this issue.It’s totally scam",True,False,[],2024-12-23,5,,[],,,https://www.amazon.in/product-reviews/B0CLH74T2W?pageNumber=1&filterByStar=all_stars&sortBy=helpful&formatType=all_formats&asin=B0CLH74T2W&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0,allStars,,B0CLH74T2W,B0CLH74T2W,B0CLH74T2W,"{'price': None, 'listPrice': None}",https://www.amazon.in//Wireless-Speaker-Charging-Bedside-Machine/dp/B0CLH74T2W/ref=zg_bs_g_1389365031_d_sccl_29/260-9443465-0628262?psc=1,India,
Reviewed in India on 2 January 2025,amzn1.account.AGNW7QZGDUIJCJWQNNJRTRHB4LLA,https://www.amazon.in/gp/profile/amzn1.account.AGNW7QZGDUIJCJWQNNJRTRHB4LLA/ref=cm_cr_othr_d_gw_tr?ie=UTF8,5,Wireless speaker,R245J3RXZRWE7M,https://www.amazon.in/gp/customer-reviews/R245J3RXZRWE7M/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0CLH74T2W,,The product is good and the audio quality is better and looks good,True,False,[],2025-01-02,6,,[],,,https://www.amazon.in/product-reviews/B0CLH74T2W?pageNumber=1&filterByStar=all_stars&sortBy=helpful&formatType=all_formats&asin=B0CLH74T2W&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0,allStars,,B0CLH74T2W,B0CLH74T2W,B0CLH74T2W,"{'price': None, 'listPrice': None}",https://www.amazon.in//Wireless-Speaker-Charging-Bedside-Machine/dp/B0CLH74T2W/ref=zg_bs_g_1389365031_d_sccl_29/260-9443465-0628262?psc=1,India,
Reviewed in India on 7 December 2024,amzn1.account.AGD35AXZ22L4NSRK6PICJNZ7RYNA,https://www.amazon.in/gp/profile/amzn1.account.AGD35AXZ22L4NSRK6PICJNZ7RYNA/ref=cm_cr_othr_d_gw_tr?ie=UTF8,5,Good Product With Multiple Functions,R1XKHBKM7LGMDV,https://www.amazon.in/gp/customer-reviews/R1XKHBKM7LGMDV/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0CLH74T2W,,The Product Is Of Standard Quality And As Described Has All The Functions Working Perfectly Also The Light Changing System Is The Best,True,False,[],2024-12-07,7,,[],,,https://www.amazon.in/product-reviews/B0CLH74T2W?pageNumber=1&filterByStar=all_stars&sortBy=helpful&formatType=all_formats&asin=B0CLH74T2W&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0,allStars,,B0CLH74T2W,B0CLH74T2W,B0CLH74T2W,"{'price': None, 'listPrice': None}",https://www.amazon.in//Wireless-Speaker-Charging-Bedside-Machine/dp/B0CLH74T2W/ref=zg_bs_g_1389365031_d_sccl_29/260-9443465-0628262?psc=1,India,
Reviewed in India on 13 January 2025,amzn1.account.AETTLMOSLO6KN5JRAEQUEPO4RSZQ,https://www.amazon.in/gp/profile/amzn1.account.AETTLMOSLO6KN5JRAEQUEPO4RSZQ/ref=cm_cr_othr_d_gw_tr?ie=UTF8,5,Good voice quality and super product,R2QKW6PS30A0Q9,https://www.amazon.in/gp/customer-reviews/R2QKW6PS30A0Q9/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0CLH74T2W,One person found this helpful,"The media could not be loaded.
                
            
                
            
            
        
    
    








  
  
     I like wireless chargerLight and variations are goodGood inbuilt quality",True,False,[],2025-01-13,8,,[],,,https://www.amazon.in/product-reviews/B0CLH74T2W?pageNumber=1&filterByStar=all_stars&sortBy=helpful&formatType=all_formats&asin=B0CLH74T2W&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0,allStars,,B0CLH74T2W,B0CLH74T2W,B0CLH74T2W,"{'price': None, 'listPrice': None}",https://www.amazon.in//Wireless-Speaker-Charging-Bedside-Machine/dp/B0CLH74T2W/ref=zg_bs_g_1389365031_d_sccl_29/260-9443465-0628262?psc=1,India,
Reviewed in India on 21 August 2024,amzn1.account.AFI6XDYGKARSMIHX2V75ZSV4JHWA,https://www.amazon.in/gp/profile/amzn1.account.AFI6XDYGKARSMIHX2V75ZSV4JHWA/ref=cm_cr_othr_d_gw_tr?ie=UTF8,5,Elevea,R29JDI0IB80KXW,https://www.amazon.in/gp/customer-reviews/R29JDI0IB80KXW/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0CLH74T2W,One person found this helpful,"Wonderful wireless 3 in 1 charger for Apple Iphone, Watch and Airpods.. I got this in the recent sale and was really impressed with the build quality of the product. The delivery was quick as well. In this price range, I would say this is one of the best 3 in 1 charger for..",False,False,[],2024-08-21,41,,[],,,https://www.amazon.in/product-reviews/B0CLH74T2W?pageNumber=6&filterByStar=all_stars&sortBy=helpful&formatType=all_formats&asin=B0CLH74T2W&reftag=cm_cr_arp_d_paging_btm_next_6&scope=reviewsAjax0,allStars,,B0CLH74T2W,B0CLH74T2W,B0CLH74T2W,"{'price': None, 'listPrice': None}",https://www.amazon.in//Wireless-Speaker-Charging-Bedside-Machine/dp/B0CLH74T2W/ref=zg_bs_g_1389365031_d_sccl_29/260-9443465-0628262?psc=1,India,
Reviewed in India on 27 January 2025,amzn1.account.AFPQAXAGLXMXOX4SUVMRMPQA55NQ,https://www.amazon.in/gp/profile/amzn1.account.AFPQAXAGLXMXOX4SUVMRMPQA55NQ/ref=cm_cr_othr_d_gw_tr?ie=UTF8,5,Good product,R3GWB4WMZH8L8N,https://www.amazon.in/gp/customer-reviews/R3GWB4WMZH8L8N/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0CLH74T2W,,I purchased this product and i found it a Very Nice product and easy to use . . . .,False,False,[],2025-01-27,25,,[],,,https://www.amazon.in/product-reviews/B0CLH74T2W?pageNumber=4&filterByStar=all_stars&sortBy=helpful&formatType=all_formats&asin=B0CLH74T2W&reftag=cm_cr_arp_d_paging_btm_next_4&scope=reviewsAjax0,allStars,,B0CLH74T2W,B0CLH74T2W,B0CLH74T2W,"{'price': None, 'listPrice': None}",https://www.amazon.in//Wireless-Speaker-Charging-Bedside-Machine/dp/B0CLH74T2W/ref=zg_bs_g_1389365031_d_sccl_29/260-9443465-0628262?psc=1,India,
