ratingScore,reviewTitle,reviewId,reviewUrl,reviewDescription,reviewImages,date,position,variant,totalCategoryRatings
5,Good Watch Must Bye Made In India 🇮🇳 👌,R3DWCM0ZQZ8MJ9,https://www.amazon.in/gp/customer-reviews/R3DWCM0ZQZ8MJ9/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0BMVT1R78,"The media could not be loaded.
                
            
                
            
        
    
    








  
  
     Customers like the build quality, value for money, and appearance of the smartwatch. They mention it looks good, has a nice screen, and all the features required for day-to-day life. Some say it's comfortable to wear and the fit is good. Opinions are mixed on the battery life, sound quality, and connectivity",['https://m.media-amazon.com/images/I/61OozYJesfL._SY88.jpg'],2024-11-25,1,"Colour: Teal Green, Style Name: Force",
4,Best for its price,R1R0LNJ07LE6LR,https://www.amazon.in/gp/customer-reviews/R1R0LNJ07LE6LR/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0BMVT1R78,"Best looks, ultra smooth UI, strap is very comfortable and of good quality. I specially loved the dial size and the shiny metal frame surrounding it giving a rugged look, plus the crown rotates as well smoothly scrolling the menu.Brightness is high, not tested at full; I keep it on zero as it's still bright enough and the screen looks like amoled on zero brightness after applying dark watch faces.Cons:Has some basic things and features missing such as:- drink water reminder- no tap to wake and sleep option- no calculator- during calling the voice is heard clearly on other side but the background noise too, in crowded areas.- Panel is IPS hence no AOD- cannot remove the already applied watch faces by default and out of 11 pre-applied faces only one can be changed.- AI voice and Breathe option missing in grid style view, only shown in list style view.- Find my device (through phone) and alarm function is basically useless as it vibrates very lightly even on the maximum vibration settings.Yet to test out the battery life. Overall a pretty well packaged watch at the price of just ₹1,799.. smooth UI, rugged look, comfortable strap, dial size big enough.",['https://m.media-amazon.com/images/I/61qSpAERhCL._SY88.jpg'],2025-01-10,2,"Colour: Jet Black, Style Name: Force",
5,Amazing product,R360BYYMGCEHJN,https://www.amazon.in/gp/customer-reviews/R360BYYMGCEHJN/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0BMVT1R78,"This smartwatch is a game-changer. With its sleek design, intuitive interface, and a plethora of features, it's the perfect companion for the modern, tech-savvy individual. The battery life is impressive, lasting for several days on a single charge. The fitness tracking capabilities are top-notch, accurately monitoring heart rate, steps, and sleep patterns.The smartwatch also offers a wide range of customizable watch faces, allowing  to personalize your device to your style.",['https://m.media-amazon.com/images/I/61iLLWVo+BL._SY88.jpg'],2024-12-02,3,"Colour: Teal Green, Style Name: Force",
4,Looks and pefomance is good  just you can put extra straps,RN9LAG8ZEZ6M2,https://www.amazon.in/gp/customer-reviews/RN9LAG8ZEZ6M2/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0BMVT1R78,"The media could not be loaded.
                
            
                
            
            
        
    
    








  
  
     I recently bought the Noise Force smartwatch, and I’m quite impressed with it. The watch has a sleek design and works smoothly without any lag. The performance is great, and the battery life is also solid, lasting me through the day with ease. A standout feature is the calling capability, which works well and is convenient for quick calls without reaching for my phone. Overall, I’m happy with my purchase and would recommend it to anyone looking for a reliable and feature-packed smartwatch.","['https://m.media-amazon.com/images/I/61o9m-dzmzL._SY88.jpg', 'https://m.media-amazon.com/images/I/71CsUnWWcQL._SY88.jpg', 'https://m.media-amazon.com/images/I/71cpSZ+Z4JL._SY88.jpg']",2024-11-10,4,"Colour: Jet Black, Style Name: Force",
5,Quality and features,R2N11TXCZ9JTIB,https://www.amazon.in/gp/customer-reviews/R2N11TXCZ9JTIB/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0BMVT1R78,Good watch in budget,[],2025-01-22,5,"Colour: Jet Black, Style Name: Force",
5,Looks and Battery capicity is most good.,R20ORJZXG8JNE0,https://www.amazon.in/gp/customer-reviews/R20ORJZXG8JNE0/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0BMVT1R78,This watch is very good. The battery lasts for about 1 week. You can also buy this watch with confidence. feature are all excellent. I think Nobody bad side in this watch.,"['https://m.media-amazon.com/images/I/61zDpZUXQLL._SY88.jpg', 'https://m.media-amazon.com/images/I/71jQpcJNCKL._SY88.jpg']",2024-12-25,6,"Colour: Jet Black, Style Name: Force",
3,Good product but charger quality not good,R2LDTLGKIPPR3Z,https://www.amazon.in/gp/customer-reviews/R2LDTLGKIPPR3Z/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0BMVT1R78,Good product but charger quality not good,[],2024-10-30,7,"Colour: Jet Black, Style Name: Force",
4,It's nice product from noise,RHI8B1D4BYM9V,https://www.amazon.in/gp/customer-reviews/RHI8B1D4BYM9V/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0BMVT1R78,Iam very satisfied with noise force Smart watch from Noise. It's quality and Durability of the item is very strong.,"['https://m.media-amazon.com/images/I/711qYh8+4PL._SY88.jpg', 'https://m.media-amazon.com/images/I/718zaVaU3xL._SY88.jpg', 'https://m.media-amazon.com/images/I/71DN5bGKFOL._SY88.jpg']",2025-01-06,8,"Colour: Jet Black, Style Name: Force",
4,It's design,R2YDYOMH161B9P,https://www.amazon.in/gp/customer-reviews/R2YDYOMH161B9P/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0BMVT1R78,"The media could not be loaded.
                
            
                
            
            
        
    
    








  
  
     Everything is good best watch in 1839 thank Amazon",['https://m.media-amazon.com/images/I/71LU4NNQL1L._SY88.jpg'],2024-11-27,25,"Colour: Jet Black, Style Name: Force",
5,Perfect Smartwatch for my needs,R1YYSD9EA2HHDF,https://www.amazon.in/gp/customer-reviews/R1YYSD9EA2HHDF/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0BMVT1R78,"I’ve been using the NoiseFit Force for a few weeks now, and it’s honestly a game-changer. The 1.32” IPS display is sharp, vibrant, and easy to read, even outdoors. The rotating crown is a great addition for effortless navigation, making it super user-friendly.The sporty, impact-resistant design is a huge plus for someone like me who enjoys outdoor activities. The zinc alloy and polycarbonate build feel durable yet lightweight on the wrist. It’s also IP67 water-resistant, so I don’t have to worry about sweat or splashes during workouts.The health tracking features are top-notch. Heart rate monitoring, SpO2 tracking, sleep tracking, and even female cycle tracking are all accurate and easy to access. Plus, with 30 sports modes, it’s ideal for tracking all my fitness goals.Bluetooth calling is a fantastic feature. I can take calls directly from my wrist, which is incredibly convenient during workouts or when I’m on the go. The battery life is impressive, lasting up to 7 days on a single charge, which means I don’t have to worry about constant charging.Lastly, it pairs seamlessly with both Android and Apple smartphones, so compatibility is never an issue. Overall, I’m thrilled with this smartwatch—it offers excellent features at a reasonable price. Highly recommend it to anyone looking for a stylish and functional wearable!",['https://m.media-amazon.com/images/I/614HAW9sE1L._SY88.jpg'],2024-11-28,26,"Colour: Jet Black, Style Name: Force",
4,Rugged look,R155HY8UN8HZAJ,https://www.amazon.in/gp/customer-reviews/R155HY8UN8HZAJ/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0BMVT1R78,"Nice look, rugged, i liked it",['https://m.media-amazon.com/images/I/71Tjki9NtLL._SY88.jpg'],2024-11-15,27,"Colour: Teal Green, Style Name: Force",
4,Force smart watch,R3AUSUGCOYZXMU,https://www.amazon.in/gp/customer-reviews/R3AUSUGCOYZXMU/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0BMVT1R78,"In this watch the connection is good , more over its functionality is nice to use and its sound quality and touch screen controls are quite good to use",['https://m.media-amazon.com/images/I/71711RWjSVL._SY88.jpg'],2024-11-05,28,"Colour: Misty Grey, Style Name: Force",
4,Sensors are quite weak,R7BB3FPKD1O99,https://www.amazon.in/gp/customer-reviews/R7BB3FPKD1O99/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0BMVT1R78,The wrist wake feature is quite weak as compared to other smart watches. Also the watch gets wake after some delay.,[],2024-11-02,29,"Colour: Jet Black, Style Name: Force",
5,Best product 👌,R2EV6GMXXQL722,https://www.amazon.in/gp/customer-reviews/R2EV6GMXXQL722/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0BMVT1R78,"Bahuthi badhiya smart watch he,Looks amazing he ❤","['https://m.media-amazon.com/images/I/61Q+89nb27L._SY88.jpg', 'https://m.media-amazon.com/images/I/61uWH2Tu0TL._SY88.jpg']",2025-01-30,30,"Colour: Jet Black, Style Name: Force",
4,Calling problem,R3HN040DKKM6YL,https://www.amazon.in/gp/customer-reviews/R3HN040DKKM6YL/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0BMVT1R78,Calling problemCalling problem,[],2024-11-09,31,"Colour: Jet Black, Style Name: Force",
4,Amazing Watch!!,R1SHPA0U0RQFYR,https://www.amazon.in/gp/customer-reviews/R1SHPA0U0RQFYR/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0BMVT1R78,Love this watch!! Superb!! This is what I want!!,['https://m.media-amazon.com/images/I/61wKXc1y1ML._SY88.jpg'],2024-11-05,32,"Colour: Misty Grey, Style Name: Force",
4,Best quality,R3P67UZ9OXNZZP,https://www.amazon.in/gp/customer-reviews/R3P67UZ9OXNZZP/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0BMVT1R78,Really the product built quality was really value for money 👍🏻,['https://m.media-amazon.com/images/I/71LV2QmvtSL._SY88.jpg'],2024-10-14,49,"Colour: Jet Black, Style Name: Force",
4,Good watch for the price,R1LUOHEGWKRVV0,https://www.amazon.in/gp/customer-reviews/R1LUOHEGWKRVV0/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0BMVT1R78,Nice good looking watch,['https://m.media-amazon.com/images/I/61FgVwd5w8L._SY88.jpg'],2024-10-27,50,"Colour: Teal Green, Style Name: Force",
