reviewedIn,userId,userProfileLink,ratingScore,reviewTitle,reviewId,reviewUrl,reviewReaction,reviewDescription,isVerified,isAmazonVine,reviewImages,date,position,variant,variantAttributes,totalCategoryRatings,totalCategoryReviews,reviewCategoryUrl,filterByRating,filterByKeyword,productAsin,productOriginalAsin,variantAsin,product,input,country,countryCode
Reviewed in India on 26 January 2025,amzn1.account.AHCZKAJVNAWWCPGFEZYYXX6YM7GQ,https://www.amazon.in/gp/profile/amzn1.account.AHCZKAJVNAWWCPGFEZYYXX6YM7GQ/ref=cm_cr_othr_d_gw_tr?ie=UTF8,5,Best casual smart watch ⌚,RFMX46INCJCK4,https://www.amazon.in/gp/customer-reviews/RFMX46INCJCK4/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0B5LVS732,,"The media could not be loaded.
                
            
                
            
            
        
    
    








  
  
    I recently purchased the NoiseWatch, and I couldn't be more impressed. This smartwatch is sleek, lightweight, and comfortable to wear throughout the day. The display is sharp and vibrant, making it easy to read even in bright sunlight.The features are outstanding — fitness tracking, heart rate monitoring, and sleep analysis are all incredibly accurate. The seamless integration with my phone for notifications and calls is a game-changer, and the battery life is phenomenal, lasting several days on a single charge.Setup was a breeze, and the user interface is intuitive. Whether you’re a fitness enthusiast or someone looking for a reliable smartwatch, the NoiseWatch is an excellent choice. Highly recommended!This is surely worth for your money",True,False,"['https://m.media-amazon.com/images/I/61G1NwEciTL._SY88.jpg', 'https://m.media-amazon.com/images/I/71lYxBTo3EL._SY88.jpg']",2025-01-26,1,Colour: Jet Black,"[{'key': 'Colour', 'value': 'Jet Black'}]",,,https://www.amazon.in/product-reviews/B0B5LVS732?pageNumber=1&filterByStar=all_stars&sortBy=helpful&formatType=all_formats&asin=B0B5LVS732&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0,allStars,,B0B5LVS732,B0B5LVS732,B0B5LVS732,"{'price': None, 'listPrice': None}",https://www.amazon.in//Noise-Bluetooth-Calling-Tracking-Detection/dp/B0B5LVS732/ref=zg_bs_g_5605728031_d_sccl_11/258-0776632-7362957?psc=1,India,
Reviewed in India on 25 January 2025,amzn1.account.AE6JLEVEXG74YYEEDP6DY7ZLXALQ,https://www.amazon.in/gp/profile/amzn1.account.AE6JLEVEXG74YYEEDP6DY7ZLXALQ/ref=cm_cr_othr_d_gw_tr?ie=UTF8,4,Reliable and featured packed,R1X0KDWW7JV4PZ,https://www.amazon.in/gp/customer-reviews/R1X0KDWW7JV4PZ/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0B5LVS732,,"5/5 stars""I'm really impressed with the Noise Pulse Go Buzz Smart Watch!Pros:- Sleek and stylish design- Easy to pair with my phone- Accurate fitness tracking and heart rate monitoring- Long battery life (up to 5 days)- Affordable price pointCons: None!Overall, I'd highly recommend the Noise Pulse Go Buzz Smart Watch to anyone looking for a reliable and feature-packed smartwatch without breaking the bank!""",True,False,[],2025-01-25,2,Colour: Jet Black,"[{'key': 'Colour', 'value': 'Jet Black'}]",,,https://www.amazon.in/product-reviews/B0B5LVS732?pageNumber=1&filterByStar=all_stars&sortBy=helpful&formatType=all_formats&asin=B0B5LVS732&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0,allStars,,B0B5LVS732,B0B5LVS732,B0B5LVS732,"{'price': None, 'listPrice': None}",https://www.amazon.in//Noise-Bluetooth-Calling-Tracking-Detection/dp/B0B5LVS732/ref=zg_bs_g_5605728031_d_sccl_11/258-0776632-7362957?psc=1,India,
Reviewed in India on 2 October 2024,amzn1.account.AHXNSVAF7QTO4L3A2XVRNNWKGM3A,https://www.amazon.in/gp/profile/amzn1.account.AHXNSVAF7QTO4L3A2XVRNNWKGM3A/ref=cm_cr_othr_d_gw_tr?ie=UTF8,5,Fantastic Smartwatch with Advanced Features at a Great Price!,R1Q509SBLI9K9X,https://www.amazon.in/gp/customer-reviews/R1Q509SBLI9K9X/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0B5LVS732,6 people found this helpful,"I've been using the Noise Pulse Go Buzz Smart Watch for a couple of weeks now, and I’m thoroughly impressed with its performance. Here’s why it deserves 5 stars:1. Advanced Bluetooth Calling: The Bluetooth calling feature works seamlessly, allowing me to make and receive calls directly from the watch. The sound quality is clear, and the connection is stable, making it super convenient for hands-free calls on the go.2. Vibrant Display: The 1.69"" TFT display is bright and clear, even in outdoor settings. The touchscreen is responsive, and the interface is easy to navigate. It’s large enough to comfortably view notifications, messages, and fitness data.3. SpO2 Monitoring & Health Features: The SpO2 sensor is a great addition for tracking my blood oxygen levels. Combined with heart rate monitoring and sleep tracking, this watch offers comprehensive health tracking. It's particularly useful during workouts and ensuring overall well-being.4. 100 Sports Modes with Auto Detection: The watch offers a wide variety of sports modes, which is fantastic for someone like me who enjoys switching between different activities. The auto-detection feature is a nice touch, as it starts tracking without needing to manually set it up.5. Great Battery Life: The battery easily lasts up to 7 days with regular use, and about 2 days with heavy Bluetooth calling. For all the features it packs, this battery life is impressive and eliminates the need for frequent charging.6. Sleek Design: The Jet Black design is sleek and modern. It looks stylish on the wrist and feels comfortable to wear all day long. It's lightweight but feels durable.7. Value for Money: For the price, this smartwatch offers an amazing range of features typically found in higher-end models. It's a great value for anyone looking to track their fitness, manage calls, and stay connected.Overall, the Noise Pulse Go Buzz is an excellent smartwatch that packs premium features at an affordable price. Whether you need it for fitness tracking, calling, or just keeping up with notifications, it performs remarkably well. Highly recommended!",True,False,[],2024-10-02,3,Colour: Jet Black,"[{'key': 'Colour', 'value': 'Jet Black'}]",,,https://www.amazon.in/product-reviews/B0B5LVS732?pageNumber=1&filterByStar=all_stars&sortBy=helpful&formatType=all_formats&asin=B0B5LVS732&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0,allStars,,B0B5LVS732,B0B5LVS732,B0B5LVS732,"{'price': None, 'listPrice': None}",https://www.amazon.in//Noise-Bluetooth-Calling-Tracking-Detection/dp/B0B5LVS732/ref=zg_bs_g_5605728031_d_sccl_11/258-0776632-7362957?psc=1,India,
Reviewed in India on 1 January 2025,amzn1.account.AGTZD5ZVDXXFXAVW5HLPYWRZVIOA,https://www.amazon.in/gp/profile/amzn1.account.AGTZD5ZVDXXFXAVW5HLPYWRZVIOA/ref=cm_cr_othr_d_gw_tr?ie=UTF8,5,Advanced feature and budget friendly,R2N3JAHM9710RQ,https://www.amazon.in/gp/customer-reviews/R2N3JAHM9710RQ/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0B5LVS732,One person found this helpful,"This is my first purchase from Noise brand. The watch is great with good display quality and advanced features, specially various sport modes. It is an ideal watch at such a great price. I'm impressed with Noise!",True,False,[],2025-01-01,4,Colour: Rose Pink,"[{'key': 'Colour', 'value': 'Rose Pink'}]",,,https://www.amazon.in/product-reviews/B0B5LVS732?pageNumber=1&filterByStar=all_stars&sortBy=helpful&formatType=all_formats&asin=B0B5LVS732&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0,allStars,,B0B5LVS732,B0B5LVS732,B0B5LVS732,"{'price': None, 'listPrice': None}",https://www.amazon.in//Noise-Bluetooth-Calling-Tracking-Detection/dp/B0B5LVS732/ref=zg_bs_g_5605728031_d_sccl_11/258-0776632-7362957?psc=1,India,
Reviewed in India on 15 October 2024,amzn1.account.AFUYNJZVJB4B5TWZS36LPMSZP7RA,https://www.amazon.in/gp/profile/amzn1.account.AFUYNJZVJB4B5TWZS36LPMSZP7RA/ref=cm_cr_othr_d_gw_tr?ie=UTF8,4,Budget friendly,R2LL7A1N9TBFGC,https://www.amazon.in/gp/customer-reviews/R2LL7A1N9TBFGC/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0B5LVS732,20 people found this helpful,"Just got my hands on the Noise ColorFit Pulse Go Buzz, and I have to say, it’s pretty impressive for the price. The display is bright and clear, and all the fitness features—like heart rate tracking—seem accurate enough for everyday use. I love the Bluetooth calling; it’s surprisingly handy when I’m on the go. Battery life is decent; I can get about a week before needing a charge. The UI could be a bit more polished, but for a budget smartwatch, it gets the job done. Overall, it’s a solid pick if you want a good smartwatch without breaking the bank",True,False,"['https://m.media-amazon.com/images/I/61GqKJT7yzL._SY88.jpg', 'https://m.media-amazon.com/images/I/61sA1IrG0qL._SY88.jpg']",2024-10-15,5,Colour: Rose Pink,"[{'key': 'Colour', 'value': 'Rose Pink'}]",,,https://www.amazon.in/product-reviews/B0B5LVS732?pageNumber=1&filterByStar=all_stars&sortBy=helpful&formatType=all_formats&asin=B0B5LVS732&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0,allStars,,B0B5LVS732,B0B5LVS732,B0B5LVS732,"{'price': None, 'listPrice': None}",https://www.amazon.in//Noise-Bluetooth-Calling-Tracking-Detection/dp/B0B5LVS732/ref=zg_bs_g_5605728031_d_sccl_11/258-0776632-7362957?psc=1,India,
Reviewed in India on 29 January 2025,amzn1.account.AGOSX6F3LLMGACWUDFTM6CNNNHOA,https://www.amazon.in/gp/profile/amzn1.account.AGOSX6F3LLMGACWUDFTM6CNNNHOA/ref=cm_cr_othr_d_gw_tr?ie=UTF8,5,Very good........................,R15D5FA7UWE25I,https://www.amazon.in/gp/customer-reviews/R15D5FA7UWE25I/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0B5LVS732,,This is my first smart watch.....❤️Really cool looking and easy to use.....Love it.🩷🩷🩷🩷🩷🩷🩷🩷🩷🩷🩷,True,False,['https://m.media-amazon.com/images/I/616T9pHDQTL._SY88.jpg'],2025-01-29,6,Colour: Midnight Blue,"[{'key': 'Colour', 'value': 'Midnight Blue'}]",,,https://www.amazon.in/product-reviews/B0B5LVS732?pageNumber=1&filterByStar=all_stars&sortBy=helpful&formatType=all_formats&asin=B0B5LVS732&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0,allStars,,B0B5LVS732,B0B5LVS732,B0B5LVS732,"{'price': None, 'listPrice': None}",https://www.amazon.in//Noise-Bluetooth-Calling-Tracking-Detection/dp/B0B5LVS732/ref=zg_bs_g_5605728031_d_sccl_11/258-0776632-7362957?psc=1,India,
Reviewed in India on 17 November 2024,amzn1.account.AFONRXXSNFYLXS72DVN3655YONTQ,https://www.amazon.in/gp/profile/amzn1.account.AFONRXXSNFYLXS72DVN3655YONTQ/ref=cm_cr_othr_d_gw_tr?ie=UTF8,3,"I got old piece, no proper noise packing",RVHMV4DZGQ3NR,https://www.amazon.in/gp/customer-reviews/RVHMV4DZGQ3NR/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0B5LVS732,4 people found this helpful,"The media could not be loaded.
                
            
                
            
            
        
    
    








  
  
     Pros:1. No lag while operating .✅2. Smooth transitions .✅3. Display quality is good .✅4. Smooth calling option .✅5. Custom sms reply before calling .✅6. Wrist quality is good 👍🏻Cons:1. No games ❌2. Paid custom watch faces ❌3. Only music control ❌4. Battery leak ❌",True,False,['https://m.media-amazon.com/images/I/71XOXEOclOL._SY88.jpg'],2024-11-17,7,Colour: Midnight Blue,"[{'key': 'Colour', 'value': 'Midnight Blue'}]",,,https://www.amazon.in/product-reviews/B0B5LVS732?pageNumber=1&filterByStar=all_stars&sortBy=helpful&formatType=all_formats&asin=B0B5LVS732&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0,allStars,,B0B5LVS732,B0B5LVS732,B0B5LVS732,"{'price': None, 'listPrice': None}",https://www.amazon.in//Noise-Bluetooth-Calling-Tracking-Detection/dp/B0B5LVS732/ref=zg_bs_g_5605728031_d_sccl_11/258-0776632-7362957?psc=1,India,
Reviewed in India on 7 January 2025,amzn1.account.AFFLVVRRUTC7LJ7XSUQ42NGB56BQ,https://www.amazon.in/gp/profile/amzn1.account.AFFLVVRRUTC7LJ7XSUQ42NGB56BQ/ref=cm_cr_othr_d_gw_tr?ie=UTF8,4,Best smartwatch ever brought,R12707378MLAZU,https://www.amazon.in/gp/customer-reviews/R12707378MLAZU/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0B5LVS732,,The strip lock want to cahnge,True,False,[],2025-01-07,8,Colour: Midnight Blue,"[{'key': 'Colour', 'value': 'Midnight Blue'}]",,,https://www.amazon.in/product-reviews/B0B5LVS732?pageNumber=1&filterByStar=all_stars&sortBy=helpful&formatType=all_formats&asin=B0B5LVS732&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0,allStars,,B0B5LVS732,B0B5LVS732,B0B5LVS732,"{'price': None, 'listPrice': None}",https://www.amazon.in//Noise-Bluetooth-Calling-Tracking-Detection/dp/B0B5LVS732/ref=zg_bs_g_5605728031_d_sccl_11/258-0776632-7362957?psc=1,India,
Reviewed in India on 24 December 2024,amzn1.account.AHOMFLYBJANZDR4ZJG5OG2R55OYA,https://www.amazon.in/gp/profile/amzn1.account.AHOMFLYBJANZDR4ZJG5OG2R55OYA/ref=cm_cr_othr_d_gw_tr?ie=UTF8,4,Nice,R2MPHT3H1A0E0X,https://www.amazon.in/gp/customer-reviews/R2MPHT3H1A0E0X/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0B5LVS732,,Noce,True,False,[],2024-12-24,17,Colour: Jet Black,"[{'key': 'Colour', 'value': 'Jet Black'}]",,,https://www.amazon.in/product-reviews/B0B5LVS732?pageNumber=3&filterByStar=all_stars&sortBy=helpful&formatType=all_formats&asin=B0B5LVS732&reftag=cm_cr_arp_d_paging_btm_next_3&scope=reviewsAjax0,allStars,,B0B5LVS732,B0B5LVS732,B0B5LVS732,"{'price': None, 'listPrice': None}",https://www.amazon.in//Noise-Bluetooth-Calling-Tracking-Detection/dp/B0B5LVS732/ref=zg_bs_g_5605728031_d_sccl_11/258-0776632-7362957?psc=1,India,
Reviewed in India on 17 December 2024,amzn1.account.AHHFKDPXSGZN2ASVW6LOJ3R7DSRA,https://www.amazon.in/gp/profile/amzn1.account.AHHFKDPXSGZN2ASVW6LOJ3R7DSRA/ref=cm_cr_othr_d_gw_tr?ie=UTF8,4,Smart watch,R3SZ944EDMDQ7U,https://www.amazon.in/gp/customer-reviews/R3SZ944EDMDQ7U/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0B5LVS732,,Product Is Very Good.💯👍,True,False,[],2024-12-17,18,Colour: Rose Pink,"[{'key': 'Colour', 'value': 'Rose Pink'}]",,,https://www.amazon.in/product-reviews/B0B5LVS732?pageNumber=3&filterByStar=all_stars&sortBy=helpful&formatType=all_formats&asin=B0B5LVS732&reftag=cm_cr_arp_d_paging_btm_next_3&scope=reviewsAjax0,allStars,,B0B5LVS732,B0B5LVS732,B0B5LVS732,"{'price': None, 'listPrice': None}",https://www.amazon.in//Noise-Bluetooth-Calling-Tracking-Detection/dp/B0B5LVS732/ref=zg_bs_g_5605728031_d_sccl_11/258-0776632-7362957?psc=1,India,
