ratingScore,reviewTitle,reviewId,reviewUrl,reviewDescription,reviewImages,date,position,variant,totalCategoryRatings
5,Best speaker all time,RNZ5NLOMZAWLB,https://www.amazon.in/gp/customer-reviews/RNZ5NLOMZAWLB/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0DH2KTW84,"I recently purchased this speakers, its a very good and budget friendly comes with a mic. Connectivity, Design, weight and battery life is satisfactory. And size of the speaker is also very good not too small",[],2025-01-06,1,Colour: Satin Black,
1,"Battery performance very poor, Sound good but No bass",R2XV7P78Z86SM9,https://www.amazon.in/gp/customer-reviews/R2XV7P78Z86SM9/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0DH2KTW84,"The seller said that its battery lasts for 6 hours but it gets down in just half an hourThere is no option given for return and replacementUpdate:- Amazon customer care first advised me to take the battery to the company's service center which is 200km away, to which I objected and asked them to tell me what Amazon's return and refund policy is? After that the customer care person made me talk to his senior officer.I just told him that if I have to go to the service center then why should I buy the product from Amazon, I should have bought it offline in the market.The senior officer understood my issue and immediately started my return and refund process, I got my refund within 5 minutes of picking up the product",[],2025-01-25,2,Colour: Satin Black,
5,Quality Product,R1Z4JLE7I81952,https://www.amazon.in/gp/customer-reviews/R1Z4JLE7I81952/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0DH2KTW84,"I likes like the music loudness, design and quality very much. Red Green Blue lighting of the speaker attracts. Speaker is suitable for karaoke nights, and family get together functions.I recommend solid choice for a budget-friendly party speaker with great features. Bluetooth connectivity is awesome. Very handy easy to move anywhere. Mic function is very nice . Battery backup too good. Overall performance is great. Easy to operate and controls the music sound. Budget friendly. Brand trust must buy it.","['https://m.media-amazon.com/images/I/71K2a2-ezuL._SY88.jpg', 'https://m.media-amazon.com/images/I/71NojowLkcL._SY88.jpg', 'https://m.media-amazon.com/images/I/71SRUeGwTzL._SY88.jpg', 'https://m.media-amazon.com/images/I/71zB52iBQXL._SY88.jpg']",2024-11-14,3,Colour: Jade Black,
5,Powerful Sound in Budget,RW2SVQ7OQ03F0,https://www.amazon.in/gp/customer-reviews/RW2SVQ7OQ03F0/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0DH2KTW84,"The media could not be loaded.
                
            
                
            
            
        
    
    








  
  
     sound output and deep bass, making it suitable for parties and outdoor events. It features Bluetooth connectivity, USB, and AUX inputs, ensuring versatile use with different devices. The speaker’s build quality is sturdy, and it has a long-lasting battery that can support extended playtime. While it performs well for its price, the sound clarity at higher volumes could be improved. Overall, it’s a great budget-friendly option for loud, bass-heavy audio.With RGB lights",[],2024-11-17,4,Colour: Jade Black,
1,No mic no cable no chord,RD29A2B6NYJKI,https://www.amazon.in/gp/customer-reviews/RD29A2B6NYJKI/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0DH2KTW84,There are no charging and mic cables in the box although the speaker is good the battery package is too low to one hour only. The package seems a return box is replaced and sent to me.customer care accepted to take back the material but nobody is calling/coming to carry back. Amazon is giving worsest experiance in shopping with them .I immediately cancelled a home safe ordered just after this worst experience.if this kind of experience persists it will be a backdrop to Amazon in future.,[],2024-12-19,5,Colour: Jade Black,
5,Classy Product,R1F99TR2EDARUK,https://www.amazon.in/gp/customer-reviews/R1F99TR2EDARUK/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0DH2KTW84,"Amazing pTron Product. This speaker has a premium lighting setup. Speaker has different modes for play songs. It also has FM mode. It has good battery Backup. It has high volume with effective bass, mic quality also good. Total value for money.",['https://m.media-amazon.com/images/I/71BDq8MzurL._SY88.jpg'],2025-01-12,6,Colour: Jade Black,
1,Very bad experience,R3TKS3Y0267QRY,https://www.amazon.in/gp/customer-reviews/R3TKS3Y0267QRY/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0DH2KTW84,"Very bad experience, with the Ptron and Amazon service as the product has a manufacturing defect and the service from both Amazon and Ptron is too slow. It took 1 week to address my issue, and after pickup of the product, I did not get any update from Ptron as it has almost taken 15 days now, and Amazon is least bothered about it.",[],2025-01-20,7,Colour: Jade Black,
5,Very Good Product,R27B6A5TDTV1MY,https://www.amazon.in/gp/customer-reviews/R27B6A5TDTV1MY/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0DH2KTW84,"I likes like the music loudness, design and quality very much. Red Green Blue lighting of the speaker attracts. Speaker is suitable for karaoke nights, and family get together functions.I recommend solid choice for a budget-friendly party speaker with great features. Bluetooth connectivity is awesome. Very handy easy to move anywhere. Mic function is very nice . Battery backup too good. Overall performance is great. Easy to operate and controls the music sound. Budget friendly. Brand trust must buy it.","['https://m.media-amazon.com/images/I/7157Iv5H5gL._SY88.jpg', 'https://m.media-amazon.com/images/I/715860LyZkL._SY88.jpg', 'https://m.media-amazon.com/images/I/71S7KMZB-WL._SY88.jpg', 'https://m.media-amazon.com/images/I/81G47PUEQWL._SY88.jpg']",2024-10-27,8,Colour: Satin Black,
5,Rocking,R1ZLQJDP1DU711,https://www.amazon.in/gp/customer-reviews/R1ZLQJDP1DU711/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0DH2KTW84,"Its really useful for people like me who loves music and karaoke session.The speaker sound is crystal clear.Speaker is lightweight so easy to carry anywhere.build quality is good and it looks good,LED lights are reactive and match the tone of the song perfectly.Battery life is also good.Mics that are included with the speaker is good and useful.","['https://m.media-amazon.com/images/I/61yyakrTkmL._SY88.jpg', 'https://m.media-amazon.com/images/I/71QcH1AJrYL._SY88.jpg', 'https://m.media-amazon.com/images/I/71q4fzUkAML._SY88.jpg', 'https://m.media-amazon.com/images/I/71wTqNG6jfL._SY88.jpg']",2025-01-07,17,Colour: Satin Black,
5,Excellent,R2RRXDGAPJDP5I,https://www.amazon.in/gp/customer-reviews/R2RRXDGAPJDP5I/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0DH2KTW84,"I recently bought pTron Fusion Theatre V2 60W Karaoke Bluetooth Party Speaker, Really amazing speaker at this price! Best for use in Events and useful for outdoor activities  It has a great sound quality and the mic is also superb! Best affordable speaker,  Iam really very happy.",[],2025-01-06,18,Colour: Jade Black,
