ratingScore,reviewTitle,reviewId,reviewUrl,reviewDescription,reviewImages,date,position,variant,totalCategoryRatings
5,It is supercalifragilisticexpialidocious!,R3D01EH1PFV2T7,https://www.amazon.in/gp/customer-reviews/R3D01EH1PFV2T7/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B094RCC4L1,"It is a wonderfully magnificent speaker. It is better than I assumed and thought. It is perfect as it automatically gets turned off when it is not connected to the phone. As a result, it saves battery. The base of this speaker is enjoyable.It looks cute and attractive. The base is wonderful. It is affordable. It is portable. It is stylish. It is automatic. It is really supercalifragilisticexpialidocious!",[],2024-10-15,1,"Colour: Play (Turquoise), Style Name: PLAY",
4,Good product,R1Z0FQELVCUWVL,https://www.amazon.in/gp/customer-reviews/R1Z0FQELVCUWVL/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B094RCC4L1,"It is working fine but obs  studio's sound is not working in bluetooth,but has good connectivity,it has a great volume and clarity,Can be used for gaming",['https://m.media-amazon.com/images/I/61hudPMdjlL._SY88.jpg'],2025-01-16,2,"Colour: Play(Black), Style Name: PLAY",
5,Great product,R1Y3MDW9V7HQUB,https://www.amazon.in/gp/customer-reviews/R1Y3MDW9V7HQUB/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B094RCC4L1,Sound quality is good as well as backup ۔,[],2025-01-14,3,"Colour: Play(Black), Style Name: PLAY",
5,Great Value for Money and Highly Portable,R1S0HZ6A3F40ZT,https://www.amazon.in/gp/customer-reviews/R1S0HZ6A3F40ZT/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B094RCC4L1,"Really impressed with this small Bluetooth speaker! It offers excellent value for money, and its portability is a major plus. The battery backup is outstanding, allowing for hours of continuous playtime. It’s lightweight and easy to carry around, making it perfect for on-the-go use.The sound quality is more than sufficient for a small room, with surprisingly good bass for its size. I’m really happy with this purchase.The only minor downside is the button design—it’s a bit tricky to distinguish between the volume and power buttons. I hope Mivi can improve this in future models. Despite this small issue, I’m giving it 5 stars because the positives far outweigh it. If this one aspect is improved, these could easily be the best speakers in their category.",[],2024-08-10,4,"Colour: Play(Black), Style Name: PLAY",
3,Good attempt by MIVI!,R1W88RQUEKZ7V5,https://www.amazon.in/gp/customer-reviews/R1W88RQUEKZ7V5/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B094RCC4L1,"=======================================================================UPDATE - 15th July 2021After using this speaker for few days, I'm downgrading rating to 3. Why?Zoom Bluetooth volume is too low for laptop, AUX sound clarity and volume not good with laptop and phone. I was mostly looking for a handsfree speaker with my laptop and it was a huge disappointment, infact I tried with 2 laptops. My old JBL GO is twice as loud when using Zoom. However with music over bluetooth on phone I like it and it's better than my JBL GO, but I don't need this MIVI for listening to music, I got far better speakers.========================================================================I came to know about this brand 'MIVI' through some online reviews. They claim that from design to manufacturing, it's completely made in India. 'MIVI' might be among the handful of speakers that's made in India. Good job!Coming to the product 'MIVI Play', it's a compact bluetooth speaker. I got it for the inaugural price, it's a good deal. I'm an audiophile and I got expensive WiFi/Bluetooth speakers like Bose Soundtouch 20, Marshall Stanmore and audiophile grade speakers from Elac, Klipsch and Q Acoustics.Let me put down the pro's and con's of this little one.PRO's1. I liked the design. It's simple and cute.2. Build quality is good for the price you pay. Can't expect more at this price.3. I liked the sound signature of this tiny speaker.4. Good bass from this tiny speaker, better than JBL GO.5. It got 4 small rubberized legs, it isolates the vibration. More like isolations stands, great idea.6. Stereo mode with 2 MIVI Plays, I got only one hence cannot say about. However I'll not recommend a stereo pair with this speaker since sound output is low.7. Its cheap! I can get more than 30 of these at the price of my Marshall Stanmore.CON's1. Beyond 80% volume, its noise. Lot of distortion and its sounds awful.2. Micro USB port. In 2021 they should have provided USB C type.3. Sound separation not good, can't expect much at this size and price.4. Tried with Zoom and audio was poor. Surprisingly my laptop build in speaker was louder than this speaker.Overall its a good attempt by MIVI. I didn't like the distortion at higher volumes, probably they wanted to keep the price under check. Can't say about battery backup since I just got it today.Will I recommend it? Yes, at this price you get quality sound but remember not more than 80% volume.",[],2021-06-10,5,"Colour: Play (Turquoise), Style Name: PLAY",
4,Capable enough for the price point.,R18ZWM9RQBI9M0,https://www.amazon.in/gp/customer-reviews/R18ZWM9RQBI9M0/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B094RCC4L1,"The media could not be loaded.
                
            
                
            
        
    
    








  
  
     1.) The speaker is decently good for the price  point it comes at but do not expect to be  blown away by it. The range of volume is  pretty pathetic tbh. You practically cannot  hear it below 50% volume. It's meant to be  operated at a range of 70/80-100% volume.2.) There's no cracking at higher volumes, even  after long hours of play, which is  commendable. The sound is clear and the  background scores are also distinguishable  from the vocals. The sound clarity might not  be comparable to the likes of Bose or Sony,  but until or unless you've experience with  expensive speakers, you won't be able to  notice the difference.3.) The battery life is respectable and the build  quality is sturdy. No shaky finishes and  product though cheap, doesn't feel like one.Overall it's the best deal available if you're looking for a sub 1000 rupees speaker. There are avenues for some improvement, but kind of makes you feel ashamed to even complain at this price point..",[],2024-06-24,6,"Colour: Play (Green), Style Name: PLAY",
5,Product is outstanding,RZRVR79IU6BC8,https://www.amazon.in/gp/customer-reviews/RZRVR79IU6BC8/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B094RCC4L1,I brought mivi play bt speaker this sounds really great or in other words I say that outstanding performence volume bass vocal clarity and instrument seperation are really great as concidring it's price this is a masterpieceMust buy product,[],2025-01-16,7,"Colour: Play (White), Style Name: PLAY",
4,Worth for money,RF4KR5E33D04A,https://www.amazon.in/gp/customer-reviews/RF4KR5E33D04A/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B094RCC4L1,Good quality sound based on the value of speaker price.Price = quality. Good,[],2024-12-06,8,"Colour: Play (Turquoise), Style Name: PLAY",
3,Good,R2SGJ23D5A46Q4,https://www.amazon.in/gp/customer-reviews/R2SGJ23D5A46Q4/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B094RCC4L1,Good,[],2024-11-02,73,"Colour: Play (Blue), Style Name: PLAY",
5,Good sound quality,R220K6ET35W8ND,https://www.amazon.in/gp/customer-reviews/R220K6ET35W8ND/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B094RCC4L1,Best speaker under 699,[],2024-12-10,74,"Colour: Play(Black), Style Name: PLAY",
