ratingScore,reviewTitle,reviewId,reviewUrl,reviewDescription,reviewImages,date,position,variant,totalCategoryRatings
5,Best smart watch ever at an affordable price,R1CSB5DMQLYIFD,https://www.amazon.in/gp/customer-reviews/R1CSB5DMQLYIFD/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0DFYL4635,"This smartwatch by Boat offers a great balance of style and functionality at an affordable price. The design is sleek, with a clear, vibrant touchscreen display. It comes equipped with a variety of fitness tracking features, including heart rate monitoring, sleep tracking, and multiple sport modes. Battery life is impressive, lasting several days on a single charge. The smartwatch also supports notifications, music control, and more. While the build quality is solid, the user interface could be smoother. Overall, it’s an excellent value for anyone looking for a feature-packed smartwatch on a budget.This smartwatch by Boat offers a great balance of style and functionality at an affordable price. The design is sleek, with a clear, vibrant touchscreen display. It comes equipped with a variety of fitness tracking features, including heart rate monitoring, sleep tracking, and multiple sport modes. Battery life is impressive, lasting several days on a single charge. The smartwatch also supports notifications, music control, and more. While the build quality is solid, the user interface could be smoother. Overall, it’s an excellent value for anyone looking for a feature-packed smartwatch on a budget.",[],2024-12-31,1,Colour: Cherry Blossom,
4,Good 👍,R479S5KF69FGQ,https://www.amazon.in/gp/customer-reviews/R479S5KF69FGQ/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0DFYL4635,"Calling sound is good and clear performance is good, touch screen is slow and not Good. But other future is good",[],2024-11-08,2,Colour: Active Black,
5,A Stellar Smartwatch for the Modern Adventurer,R27T830L3JWBO2,https://www.amazon.in/gp/customer-reviews/R27T830L3JWBO2/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0DFYL4635,"Body :-I've been on the hunt for a smartwatch that could keep up with my active lifestyle, and the BoAt Lunar Discovery has truly exceeded my expectations.The 1.39-inch HD display is a real eye-catcher. It's bright, clear, and makes navigating through the menus a breeze. I love the customizable watch faces, especially the DIY feature. It's a fun way to personalize my watch and show off my unique style.The turn-by-turn navigation is a lifesaver, especially when I'm exploring new trails or cities. It's accurate and easy to follow, even when I'm on the go. The Bluetooth calling feature is a game-changer, allowing me to take calls directly from my wrist. It's super convenient, especially when I'm working out or driving.The battery life is impressive, easily lasting a few days on a single charge. The heart rate and sleep tracking features are accurate and provide valuable insights into my overall health.While the build quality is solid, I did find the touch sensitivity a bit inconsistent at times. However, this is a minor quibble.Overall, the BoAt Lunar Discovery is a fantastic smartwatch that offers a lot of value for money. It's stylish, functional, and perfect for anyone who wants to stay connected and active.Key Features I Love: * Vibrant HD display* Customizable watch faces * Accurate turn-by-turn navigation* Convenient Bluetooth calling * Long-lasting battery * Helpful health tracking featuresIf you're looking for a reliable and feature-packed smartwatch, I highly recommend the BoAt Lunar Discovery.","['https://m.media-amazon.com/images/I/61-WfFXq-CL._SY88.jpg', 'https://m.media-amazon.com/images/I/6131bLogD9L._SY88.jpg', 'https://m.media-amazon.com/images/I/61ipZY4CeWL._SY88.jpg']",2024-11-30,3,Colour: Active Black,
5,Nice product,R1SP4IW70G5EZC,https://www.amazon.in/gp/customer-reviews/R1SP4IW70G5EZC/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0DFYL4635,"The boAt Lunar Discovery smartwatch impresses with its 1.39"" HD display, offering crisp visuals. Its turn-by-turn navigation ensures seamless travel, while the DIY Watch Face Studio lets users personalize their experience. Bluetooth calling provides hands-free convenience, and the Emergency SOS feature enhances safety during critical moments. The QR tray allows quick app integration, making it user-friendly. Its versatile design suits both men and women, combining style with functionality. With durable build quality and smart features, it’s a great choice for tech-savvy individuals seeking value for money in an affordable smartwatch. Perfect for fitness, travel, and daily connectivity needs!  good product buy it","['https://m.media-amazon.com/images/I/519mmkLdJzL._SY88.jpg', 'https://m.media-amazon.com/images/I/51L4FxbtfaL._SY88.jpg', 'https://m.media-amazon.com/images/I/51jLrTDC+KL._SY88.jpg']",2024-12-10,4,Colour: Active Black,
5,Premium watch,R2OOY5336DZE34,https://www.amazon.in/gp/customer-reviews/R2OOY5336DZE34/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0DFYL4635,"For the money spent, the boat smartwatch is worth it. The watch has a great design and build quality, and it feels and looks expensive in the hand. Its functions, such fitness tracking and Bluetooth calling, operate quite well; when I compared the reading to the original device, the results were fairly accurate. Games and smartwatch-based music control are among the other features. Bluetooth has a large range of connection as well. When making a call, the sound quality is often good and audible. All things considered, this wonderful device from Boat lets us precisely track our exercise record",['https://m.media-amazon.com/images/I/41glGye2pLL._SY88.jpg'],2024-12-23,5,Colour: Active Black,
3,watch,R3LBY34YZX04WY,https://www.amazon.in/gp/customer-reviews/R3LBY34YZX04WY/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0DFYL4635,"The watch is very good, it has many features, the sound is also clear, but come The button on the watch itself is not working properly,i have to press it hard but the watch is nice",['https://m.media-amazon.com/images/I/61DLHrSz9uL._SY88.jpg'],2024-12-09,6,Colour: Active Black,
4,Good product from boat,R89LIP673SQE7,https://www.amazon.in/gp/customer-reviews/R89LIP673SQE7/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0DFYL4635,"After ordering and pairing it with your phone, it'll show a mandatory update. After updating the firmware then watch is working fine. Will update this post after 7 days of testing.",[],2025-01-23,7,Colour: Active Blue,
5,nicee,R39ZD4D5ZNAAGD,https://www.amazon.in/gp/customer-reviews/R39ZD4D5ZNAAGD/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0DFYL4635,"I've been using the Boat Watch for six days now, and I'm genuinely impressed. The sleek design and lightweight feel make it comfortable fit to wear all day. The display is crisp and bright, even in direct sunlight. Tracking my workouts and sleep has been seamless, and the battery life is remarkable. The only downside is that the app can be a bit laggy at times, but overall, it's a fantastic value for the price. Scratch resistant and feature loaded",['https://m.media-amazon.com/images/I/31faZdIS4PL._SY88.jpg'],2024-12-18,8,Colour: Cherry Blossom,
5,Fantastic purchase,R79GI34DQSRQU,https://www.amazon.in/gp/customer-reviews/R79GI34DQSRQU/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0DFYL4635,"Exceptional Performance with Stunning FeaturesThe boAt Lunar Discovery smartwatch in Active Black is an absolute gem! The 1.39-inch HD display is vibrant and clear, offering an excellent viewing experience. The turn-by-turn navigation feature is incredibly handy for outdoor activities, ensuring you never lose your way.The DIY Watch Face Studio is a game-changer, allowing you to personalize the watch to suit your style. Bluetooth calling works seamlessly, with crystal-clear audio quality. The addition of Emergency SOS and a QR Tray is practical and thoughtful, adding a layer of safety and convenience.It’s suitable for both men and women, and its sleek design makes it a perfect accessory for any outfit. This smartwatch is a powerhouse of functionality and style, truly worth every penny! Highly recommended for tech enthusiasts and fitness lovers alike.","['https://m.media-amazon.com/images/I/610Kk9uZ36L._SY88.jpg', 'https://m.media-amazon.com/images/I/61Vfx6Mad8L._SY88.jpg']",2024-11-26,65,Colour: Active Black,
4,Nice product,R1CFEZ7PS1N0BB,https://www.amazon.in/gp/customer-reviews/R1CFEZ7PS1N0BB/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0DFYL4635,The media could not be loaded.,[],2024-11-17,66,Colour: Brown,
